"name_nsi";"price";"index";"environment";"quality_of_living";"safety";"transport";"services";"relax";"condition";"area";"energy_costs";"provision";"certificate";"construction_type";"orientation";"year_built";"last_reconstruction";"total_floors";"floor";"lift";"balkonies";"loggia";"cellar";"type";"rooms";"district"
"Semerovo";42000;NA;NA;NA;NA;NA;NA;NA;"Original condition";58;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Nové Zámky"
"Semerovo";42000;NA;NA;NA;NA;NA;NA;NA;"Original condition";58;NA;0;"none";"Brick";NA;NA;NA;2;NA;0;NA;NA;0;"3-room apartment";3;"Nové Zámky"
"Štúrovo";107000;8,3;NA;NA;NA;NA;NA;NA;"Partial reconstruction";40;NA;0;NA;NA;NA;NA;NA;5;3;0;NA;NA;0;"1-room apartment";1;"Nové Zámky"
"Štúrovo";105000;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";76;200;1;"C";NA;NA;NA;NA;7;4;1;NA;NA;0;"3-room apartment";3;"Nové Zámky"
"Štúrovo";82000;NA;NA;NA;NA;NA;NA;NA;"Partial reconstruction";63;NA;0;NA;NA;NA;NA;2018;NA;2;0;NA;NA;0;"2-room apartment";2;"Nové Zámky"
"Štúrovo";102000;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";76,5;NA;0;"none";NA;NA;1;NA;7;2;0;NA;NA;0;"3-room apartment";3;"Nové Zámky"
"Štúrovo";129000;8,2;9,1;7,4;9,5;7;9,3;7;"Complete reconstruction";63;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;"3-room apartment";3;"Nové Zámky"
"Štúrovo";95000;NA;NA;NA;NA;NA;NA;NA;"Complete reconstruction";63;120;1;"none";NA;NA;NA;NA;NA;NA;0;NA;NA;0;"2-room apartment";2;"Nové Zámky"
"Štúrovo";82000;NA;NA;NA;NA;NA;NA;NA;"Original condition";63,45;NA;0;NA;"Panel";"Southwest";NA;NA;NA;NA;1;NA;NA;0;"2-room apartment";2;"Nové Zámky"
"Štúrovo";74900;NA;NA;NA;NA;NA;NA;NA;"Original condition";64;NA;1;NA;NA;NA;NA;NA;12;3;1;NA;NA;0;"2-room apartment";2;"Nové Zámky"
"Štúrovo";64900;NA;NA;NA;NA;NA;NA;NA;"Original condition";57;NA;0;"none";"Panel";NA;NA;NA;NA;7;1;NA;NA;0;"2-room apartment";2;"Nové Zámky"
