1, "Create a variable that stores a list of your five favorite fruits. Write a function to concatenate these elements into a single comma-separated string."
2, "Create a script to define three different variables of varying data types. Print each variable's data type using the appropriate function."
3, "Define two variables, one numeric and one string. Write a function to output both in a sentence, concatenating the string variable within the sentence."
4, "Using R data types, create an array of 10 random numbers and categorize each number as 'high' or 'low' based on a threshold of your choice."
5, "Write a script to calculate the square and cube of a variable containing a number. Store and print each result."
6, "Define a variable to store a complex number. Write a function to calculate the modulus and argument of the complex number."
7, "Using R math functions, write a program to calculate and print the factorial of a given number."
8, "Create a variable to store a decimal number and round it to the nearest integer. Also, compute its square root."
9, "Define two variables containing strings and join them with a separator of your choice. Print the result in uppercase."
10, "Write a function to count the number of characters in a string variable. Then, replace all vowels with a specified character and print the result."
11, "Store a multiline string with special characters in a variable. Write a function to escape these characters and output the result."
12, "Create a program to check if a given string contains any digits. If it does, print 'Contains Digits'; otherwise, print 'No Digits'."
13, "Define two boolean variables. Write a function to check if both are true and print the result."
14, "Using boolean operators, create a function that takes three inputs and returns true only if at least two of the three inputs are true."
15, "Define two numeric variables and compare them using R operators. Print a message indicating which variable is larger or if they are equal."
16, "Write a script to check if a number stored in a variable is even or odd using the modulo operator."
17, "Using an if-else statement, check if a given number is positive, negative, or zero. Print an appropriate message for each case."
18, "Write a function that takes a number as input and returns whether it is prime. Use an if-else statement for checking."
19, "Create a nested if-else statement to categorize a number as 'small', 'medium', or 'large' based on user-defined ranges."
20, "Using a while loop, calculate the sum of all numbers from 1 to a given number (n)."
21, "Write a program to calculate the factorial of a number using a while loop."
22, "Using a while loop, repeatedly divide a number by 2 until it is less than 1. Print each intermediate result."
23, "Write a for loop to iterate over a vector of numbers and print only the even numbers."
24, "Using nested loops, create a multiplication table from 1 to 10. Each entry should show 'x * y = result'."
25, "Create a vector of numbers and write a for loop to calculate and print the cumulative sum at each step."
26, "Define a function that takes two numbers as input and returns their greatest common divisor (GCD) using recursion."
27, "Write a recursive function to find the nth Fibonacci number and test it with different values of n."
28, "Create a global variable and write a nested function that modifies its value. Print the result before and after modification."
29, "Define a function to check if a string contains only uppercase letters. If not, convert it and print the result."
30, "Create a function that takes a list of numbers and returns a list containing the square root of each element."
31, "Write a function that returns the length of the longest word in a sentence string. Test it with a sample sentence."
32, "Using the modulus operator, create a function to check if one number is a multiple of another. Print the result."
33, "Define a numeric variable and write a function to determine if it is a perfect square using a loop and conditional statements."
34, "Create a vector of numbers and use a while loop to reverse the order of its elements without using built-in functions."
35, "Write a function to concatenate two vectors, each containing strings, and print the result in alphabetical order."
36, "Using the R 'ifelse' function, write a program to assign a grade (A, B, C, etc.) based on a numeric score variable."
37, "Define a function that takes a vector of booleans and returns TRUE if at least one element is TRUE; otherwise, return FALSE."
38, "Write a program to generate a matrix with random numbers and replace all values above a certain threshold with NA."
39, "Create a function to check if two strings are anagrams of each other and print the result."
40, "Write a function that iterates through a list of strings and prints the length of each string that contains more than three vowels."
