Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,cogs,Date,Time,Payment,Rating
750-67-8428,A,Trichy,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,522.83,01-05-2019,13:08,Ewallet,9.1
226-31-3081,C,Chennai,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,76.4,03-08-2019,10:29,Cash,9.6
631-41-3108,A,Trichy,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,324.31,03-03-2019,13:23,Credit card,7.4
123-19-1176,A,Trichy,Member,Male,Health and beauty,58.22,8,23.288,489.048,465.76,1-27-2019,20:33,Ewallet,8.4
373-73-7910,A,Trichy,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,604.17,02-08-2019,10:37,Ewallet,5.3
699-14-3026,C,Chennai,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,597.73,3-25-2019,18:30,Ewallet,4.1
355-53-5943,A,Trichy,Member,Female,Electronic accessories,68.84,6,20.652,433.692,413.04,2-25-2019,14:36,Ewallet,5.8
315-22-5665,C,Chennai,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,735.6,2-24-2019,11:38,Ewallet,8
665-32-9167,A,Trichy,Member,Female,Health and beauty,36.26,2,3.626,76.146,72.52,01-10-2019,17:15,Credit card,7.2
692-92-5582,B,karur,Member,Female,Food and beverages,54.84,3,8.226,172.746,164.52,2-20-2019,13:27,Credit card,5.9
351-62-0822,B,karur,Member,Female,Fashion accessories,14.48,4,2.896,60.816,57.92,02-06-2019,18:07,Ewallet,4.5
529-56-3974,B,karur,Member,Male,Electronic accessories,25.51,4,5.102,107.142,102.04,03-09-2019,17:03,Cash,6.8
365-64-0515,A,Trichy,Normal,Female,Electronic accessories,46.95,5,11.7375,246.4875,234.75,02-12-2019,10:25,Ewallet,7.1
252-56-2699,A,Trichy,Normal,Male,Food and beverages,43.19,10,21.595,453.495,431.9,02-07-2019,16:48,Ewallet,8.2
829-34-3910,A,Trichy,Normal,Female,Health and beauty,71.38,10,35.69,749.49,713.8,3-29-2019,19:21,Cash,5.7
299-46-1805,B,karur,Member,Female,Sports and travel,93.72,6,28.116,590.436,562.32,1-15-2019,16:19,Cash,4.5
656-95-9349,A,Trichy,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,482.51,03-11-2019,11:03,Credit card,4.6
765-26-6951,A,Trichy,Normal,Male,Sports and travel,72.61,6,21.783,457.443,435.66,01-01-2019,10:39,Credit card,6.9
329-62-1586,A,Trichy,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,164.01,1-21-2019,18:00,Credit card,8.6
319-50-3348,B,karur,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,80.6,03-11-2019,15:30,Ewallet,4.4
300-71-4605,C,Chennai,Member,Male,Electronic accessories,86.04,5,21.51,451.71,430.2,2-25-2019,11:24,Ewallet,4.8
371-85-5789,B,karur,Normal,Male,Health and beauty,87.98,3,13.197,277.137,263.94,03-05-2019,10:40,Ewallet,5.1
273-16-6619,B,karur,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,66.4,3-15-2019,12:20,Credit card,4.4
636-48-8204,A,Trichy,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,172.8,2-17-2019,11:15,Ewallet,9.9
549-59-1358,A,Trichy,Member,Male,Sports and travel,88.63,3,13.2945,279.1845,265.89,03-02-2019,17:36,Ewallet,6
