1,Match the word 'python' in the string 'I am learning python programming'
2,Find all vowels in the string 'supercalifragilisticexpialidocious'
3,Find all characters that are not vowels in the string 'supercalifragilisticexpialidocious'
4,Extract all digits from the string 'My number is 123-456-7890'
5,Check if the string 'Start here' starts with 'Start'
6,Check if the string 'End here' ends with 'here'
7,Find all sequences of digits in the string 'abc123def456ghi789'
8,Find sequences of one or more digits in the string 'abc123def456ghi789'
9,Match the words 'gray' and 'grey' in the string 'The color can be gray or grey'
10,Extract sequences of exactly 4 digits from the string '1234 5678 91011 121314'
11,Find sequences of 2 or more digits in the string '4 42 423 4234'
12,Find sequences of 2 to 5 digits in the string '123 1234 12345 123456'
13,Extract the area code, prefix, and line number from the phone number '800-555-1212'
14,Match the word 'cat' or 'dog' in the string 'I have a cat and a dog'
15,Find the word 'end' at a word boundary in the string 'end the endless journey'
16,Find the word 'end' not at a word boundary in the string 'friendship ends here'
17,Escape the dot character to find all dots in the string 'www.example.com'
18,Match the exact string 'regex' in 'This is a regex example'
19,Find all consonants in the string 'Regular Expressions'
20,Extract all lowercase letters from the string 'Hello World!'
21,Check if the string 'abc123' starts with 'abc'
22,Check if the string '123abc' ends with 'abc'
23,Find zero or more occurrences of 'x' in the string 'xoxo'
24,Find one or more occurrences of 'x' in the string 'xxoxo'
25,Match the word 'behavior' and 'behaviour' in the string 'American behavior and British behaviour'
26,Find sequences of 3 digits in the string 'Numbers 123456789'
27,Match either 'apple' or 'banana' in the string 'I like apple and banana'
28,Find sequences of exactly 5 letters in the string 'regex123 is powerful'
29,Extract the month, day, and year from the date '12-25-2021'
30,Find the word 'code' at the beginning or end of 'codecoding'
